player,date,time,id,item,itemID,itemString,response,votes,class,instance,boss,difficultyID,mapID,groupSize,gear1,gear2,responseID,isAwardReason,subType,equipLoc,note,owner,Icon URL
Moneytree-Nightslayer,2025-05-16,20:35:00,1747449385-12,[Stormrage Bracers],16904,item:16904::::::::60,BiS,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:19840::::::::60:::::::::|h[Zandalar Haruspex's Bracers]|h|r,,1,False,Leather,Wrist,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-05-23,21:55:00,1748058992-7,[Wild Growth Spaulders],18810,item:18810::::::::60,BiS,0,DRUID,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:16902::::::::60:::::::::|h[Stormrage Pauldrons]|h|r,,1,False,Leather,Shoulder,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-05-30,20:25:00,1748658399-6,[Stormrage Handguards],16899,item:16899::::::::60,Pass,0,DRUID,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16899::::::::60:::::::::|h[Stormrage Handguards]|h|r,,PASS,False,Leather,Hands,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-06-13,21:12:00,1749870843-3,[Cauterizing Band],19140,item:19140::::::::60,BiS,0,DRUID,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:22721::::::::60:::::::::|h[Band of Servitude]|h|r,|cff0070dd|Hitem:16058::::::::60:::::::::|h[Fordring's Seal]|h|r,1,False,Miscellaneous,Finger,,Blonde-Nightslayer,
Moneytree-Nightslayer,2025-07-25,21:42:00,1753501350-15,[Regenerating Belt of Vek'nilash],21609,item:21609::::::::60,BiS,0,DRUID,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cffa335ee|Hitem:14553::::::::60:::::::::|h[Sash of Mercy]|h|r,,1,False,Leather,Waist,,Blonde-Nightslayer,
Heiferacorn-Nightslayer,2025-04-05,20:36:00,1743907104-1,[Stormrage Legguards],16901,item:16901::::::::60,Upgrade,4,DRUID,Molten Core-40 Player,Unknown,9,409,40,|cff1eff00|Hitem:8289::::::::60:::::::::|h[Arcane Leggings]|h|r,,2,False,Leather,Legs,,Blonde-Nightslayer,
Heiferacorn-Nightslayer,2025-04-05,20:39:00,1743907275-6,[Cenarion Vestments],16833,item:16833::::::::60,Upgrade,1,DRUID,Molten Core-40 Player,Unknown,9,409,40,|cff1eff00|Hitem:10246::::::1826:334984576:60:::::::::|h[Master's Vest of Arcane Wrath]|h|r,,2,False,Leather,Chest,,Blonde-Nightslayer,
Heiferacorn-Nightslayer,2025-04-05,20:48:00,1743907801-17,[Cenarion Boots],16829,item:16829::::::::60,Upgrade,2,DRUID,Molten Core-40 Player,Unknown,9,409,40,|cff0070dd|Hitem:11822::::::::60:::::::::|h[Omnicast Boots]|h|r,,2,False,Leather,Feet,,Blonde-Nightslayer,
Heiferacorn-Nightslayer,2025-04-05,20:48:00,1743907814-18,[Cenarion Gloves],16831,item:16831::::::::60,Upgrade,2,DRUID,Molten Core-40 Player,Unknown,9,409,40,|cff1eff00|Hitem:15184::::::1815:1845000448:60:::::::::|h[Praetorian Gloves of Arcane Wrath]|h|r,,2,False,Leather,Hands,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-05-02,22:03:00,1746245044-18,[Dragonstalker's Breastplate],16942,item:16942::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:22874:928:::::::60:::::::::|h[Legionnaire's Chain Hauberk]|h|r,,1,False,Mail,Chest,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-05-16,20:31:00,1747449171-1,[Prestor's Talisman of Connivery],19377,item:19377::::::::60,BiS,1,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:18404::::::::60:::::::::|h[Onyxia Tooth Pendant]|h|r,,1,False,Miscellaneous,Neck,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-05-16,20:34:00,1747449335-9,[Emberweave Leggings],19433,item:19433::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16938:2586:::::::60:::::::::|h[Dragonstalker's Legguards]|h|r,,1,False,Mail,Legs,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-05-16,20:38:00,1747449593-15,[Dragonstalker's Greaves],16941,item:16941::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16849:1887:::::::60:::::::::|h[Giantstalker's Boots]|h|r,,1,False,Mail,Feet,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-05-23,21:31:00,1748057530-6,[Schematic: Force Reactive Disk],18291,item:18291::::::::60,BiS,0,HUNTER,Molten Core-40 Player,Baron Geddon,9,409,40,,,1,False,Engineering,,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-05-30,20:35:00,1748658978-18,[Dragonstalker's Gauntlets],16940,item:16940::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16852:1887:::::::60:::::::::|h[Giantstalker's Gloves]|h|r,,1,False,Mail,Hands,,Blonde-Nightslayer,
Hermit-Nightslayer,2025-06-27,22:11:00,1751083979-4,[Cloak of the Shrouded Mists],17102,item:17102::::::::60,BiS,0,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:13340:849:::::::60:::::::::|h[Cape of the Black Baron]|h|r,,1,False,Cloth,Back,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-03-21,21:43:00,1742614968-5,[Dragonstalker's Belt],16936,item:16936::::::::60,Mainspec/Need,0,HUNTER,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:16851::::::::60:::::::::|h[Giantstalker's Belt]|h|r,,1,False,Mail,Waist,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-03-21,21:43:00,1742614972-6,[Dragonstalker's Greaves],16941,item:16941::::::::60,Mainspec/Need,4,HUNTER,Blackwing Lair-40 Player,Broodlord Lashlayer,9,469,40,|cffa335ee|Hitem:16849:1887:::::::60:::::::::|h[Giantstalker's Boots]|h|r,,1,False,Mail,Feet,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-03-28,20:50:00,1743216700-10,[Dragonstalker's Gauntlets],16940,item:16940::::::::60,BiS,6,HUNTER,Blackwing Lair-40 Player,Ebonroc,9,469,40,|cff0070dd|Hitem:22862:1887:::::::60:::::::::|h[Blood Guard's Chain Vices]|h|r,,1,False,Mail,Hands,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-03-29,21:11:00,1743304381-9,[Cloak of the Shrouded Mists],17102,item:17102::::::::60,BiS,6,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:13340:849:::::::60:::::::::|h[Cape of the Black Baron]|h|r,,1,False,Cloth,Back,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-04-04,21:03:00,1743822344-8,[Dragonstalker's Bracers],16935,item:16935::::::::60,BiS,5,HUNTER,Blackwing Lair-40 Player,Unknown,9,469,40,|cffa335ee|Hitem:16850:1883:::::::60:::::::::|h[Giantstalker's Bracers]|h|r,,1,False,Mail,Wrist,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-04-04,22:49:00,1743828611-13,[Dragonstalker's Breastplate],16942,item:16942::::::::60,BiS,1,HUNTER,Kalimdor-,Nefarian,0,1,0,|cff0070dd|Hitem:18530:928:::::::60:::::::::|h[Ogre Forged Hauberk]|h|r,,1,False,Mail,Chest,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-04-19,20:58:00,1745117966-11,[Dragonstalker's Helm],16939,item:16939::::::::60,BiS,1,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,|cffa335ee|Hitem:16846:2543:::::::60:::::::::|h[Giantstalker's Helmet]|h|r,,1,False,Mail,Head,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-04-25,20:31:00,1745634777-7,[Dragonstalker's Greaves],16941,item:16941::::::::60,BiS,3,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16569:911:::::::60:::::::::|h[General's Chain Sabatons]|h|r,,1,False,Mail,Feet,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-04-25,20:40:00,1745635286-18,[Arcane Infused Gem],19336,item:19336::::::::60,Offspec,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:19991::::::::60:::::::::|h[Devilsaur Eye]|h|r,|cff0070dd|Hitem:13965::::::::60:::::::::|h[Blackhand's Breadth]|h|r,3,False,Miscellaneous,Trinket,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-05-02,22:03:00,1746245028-17,"[Ashkandi, Greatsword of the Brotherhood]",19364,item:19364::::::::60,BiS,1,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18520:2564:::::::60:::::::::|h[Barbarous Blade]|h|r,,1,False,Two-Handed Swords,Two-Hand,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-05-03,21:52:00,1746330831-5,[Band of Jin],19925,item:19925::::::::60,Upgrade,0,HUNTER,Zul'Gurub-20 Player,High Priestess Arlokk,148,309,20,|cffa335ee|Hitem:19325::::::::60:::::::::|h[Don Julio's Band]|h|r,|cff0070dd|Hitem:18500::::::::60:::::::::|h[Tarnished Elven Ring]|h|r,2,False,Miscellaneous,Finger,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-05-09,22:43:00,1746852204-10,[Giantstalker's Gloves],16852,item:16852::::::::60,Offspec,0,HUNTER,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:16940:1887:::::::60:::::::::|h[Dragonstalker's Gauntlets]|h|r,,3,False,Mail,Hands,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-05-23,20:30:00,1748053845-8,[Head of Nefarian],19002,item:19002::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,,,1,False,Quest,,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-05-30,20:28:00,1748658551-12,[Emberweave Leggings],19433,item:19433::::::::60,Offspec,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16938:1508:::::::60:::::::::|h[Dragonstalker's Legguards]|h|r,,3,False,Mail,Legs,,Blonde-Nightslayer,
Tucc-Nightslayer,2025-06-06,20:17:00,1749262738-1,[Prestor's Talisman of Connivery],19377,item:19377::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:18404::::::::60:::::::::|h[Onyxia Tooth Pendant]|h|r,,1,False,Miscellaneous,Neck,,Blonde-Nightslayer,
Cecchino-Nightslayer,2025-05-02,22:05:00,1746245178-20,[Prestor's Talisman of Connivery],19377,item:19377::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:17044::::::::60:::::::::|h[Will of the Martyr]|h|r,,1,False,Miscellaneous,Neck,,Blonde-Nightslayer,
Cecchino-Nightslayer,2025-05-03,20:24:00,1746325539-17,[Dragonstalker's Legguards],16938,item:16938::::::::60,Upgrade,1,HUNTER,Molten Core-40 Player,Unknown,9,409,40,|cffa335ee|Hitem:16567:2543:::::::60:::::::::|h[General's Chain Legguards]|h|r,,2,False,Mail,Legs,,Blonde-Nightslayer,
Cecchino-Nightslayer,2025-05-10,21:28:00,1746934162-13,"[Zin'rokh, Destroyer of Worlds]",19854,item:19854::::::::60,BiS,0,HUNTER,Zul'Gurub-20 Player,Hakkar,148,309,20,"|cffa335ee|Hitem:18715::::::::60:::::::::|h[Lok'delar, Stave of the Ancient Keepers]|h|r",,1,False,Two-Handed Swords,Two-Hand,,Blonde-Nightslayer,
Cecchino-Nightslayer,2025-06-06,20:22:00,1749263020-9,[Dragonstalker's Gauntlets],16940,item:16940::::::::60,Offspec,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cffa335ee|Hitem:16571:1887:::::::60:::::::::|h[General's Chain Gloves]|h|r,,3,False,Mail,Hands,,Blonde-Nightslayer,
Sontspulls-Nightslayer,2025-06-27,20:19:00,1751077193-19,[Dragonstalker's Breastplate],16942,item:16942::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:16674::::::::60:::::::::|h[Beaststalker's Tunic]|h|r,,1,False,Mail,Chest,,Blonde-Nightslayer,
Sontspulls-Nightslayer,2025-06-27,20:19:00,1751077196-20,"[Ashjre'thul, Crossbow of Smiting]",19361,item:19361::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:19107::::::::60:::::::::|h[Bloodseeker]|h|r,,1,False,Crossbows,Ranged,,Blonde-Nightslayer,
Sontspulls-Nightslayer,2025-06-27,20:20:00,1751077260-23,[Dragonstalker's Gauntlets],16940,item:16940::::::::60,BiS,0,HUNTER,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:13963::::::::60:::::::::|h[Voone's Vice Grips]|h|r,,1,False,Mail,Hands,,Blonde-Nightslayer,
Eddywtfast-Nightslayer,2025-07-19,19:43:00,1752975748-0,[Ancient Petrified Leaf],18703,item:18703::::::::60,"Loot announced, waiting for answer",0,HUNTER,Molten Core-40 Player,Majordomo Executus,9,409,40,,,ANNOUNCED,False,Quest,,,Blonde-Nightslayer,
Rånger-Nightslayer,2025-05-31,19:22:00,1748741052-0,[Head of Onyxia],18422,item:18422::::::::60,BiS,0,HUNTER,Onyxia's Lair-40 Player,Onyxia,9,249,40,,,1,False,Quest,,,Blonde-Nightslayer,
Rånger-Nightslayer,2025-06-27,21:05:00,1751079915-29,[Giantstalker's Leggings],16847,item:16847::::::::60,BiS,0,HUNTER,Molten Core-40 Player,Garr,9,409,40,|cff0070dd|Hitem:22875::::::::60:::::::::|h[Legionnaire's Chain Legguards]|h|r,,1,False,Mail,Legs,,Blonde-Nightslayer,
Rånger-Nightslayer,2025-06-27,21:47:00,1751082431-35,[Giantstalker's Epaulets],16848,item:16848::::::::60,BiS,0,HUNTER,Molten Core-40 Player,Majordomo Executus,9,409,40,|cff0070dd|Hitem:23252::::::::60:::::::::|h[Champion's Chain Shoulders]|h|r,,1,False,Mail,Shoulder,,Blonde-Nightslayer,
Western-Nightslayer,2025-07-25,20:45:00,1753497916-0,[Barb of the Sand Reaver],21635,item:21635::::::::60,BiS,0,HUNTER,Ahn'Qiraj Temple-40 Player,Twin Emperors,9,531,40,|cff0070dd|Hitem:18520::::::::60:::::::::|h[Barbarous Blade]|h|r,,1,False,Polearms,Two-Hand,,Blonde-Nightslayer,
Iinadaze-Nightslayer,2025-06-20,20:47:00,1750474065-1,[Netherwind Belt],16818,item:16818::::::::60,Offspec,0,MAGE,Blackwing Lair-40 Player,Unknown,9,469,40,|cff0070dd|Hitem:22716::::::::60:::::::::|h[Belt of Untapped Power]|h|r,,3,False,Cloth,Waist,,Blonde-Nightslayer,
Iinadaze-Nightslayer,2025-06-21,20:32:00,1750559565-0,[Arcanist Robes],16798,item:16798::::::::60,Offspec,0,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:19682:1892:::::::60:::::::::|h[Bloodvine Vest]|h|r,,3,False,Cloth,Chest,,Blonde-Nightslayer,
Iinadaze-Nightslayer,2025-06-27,22:11:00,1751083968-3,[Choker of the Fire Lord],18814,item:18814::::::::60,BiS,0,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cffa335ee|Hitem:19601::::::::60:::::::::|h[Jewel of Kajaro]|h|r,,1,False,Miscellaneous,Neck,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-04-05,20:46:00,1743907671-13,[Ring of Spell Power],19147,item:19147::::::::60,BiS,1,MAGE,Molten Core-40 Player,Unknown,9,409,40,|cffa335ee|Hitem:942::::::::60:::::::::|h[Freezing Band]|h|r,|cff0070dd|Hitem:13001::::::::60:::::::::|h[Maiden's Circle]|h|r,1,False,Miscellaneous,Finger,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-04-11,22:24:00,1744431944-11,[Angelista's Grasp],19388,item:19388::::::::60,Upgrade,1,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:11662::::::::60:::::::::|h[Ban'thok Sash]|h|r,,2,False,Cloth,Waist,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-04-18,21:15:00,1745032545-1,[Mantle of the Blackwing Cabal],19370,item:19370::::::::60,BiS,2,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18681::::::::60:::::::::|h[Burial Shawl]|h|r,,1,False,Cloth,Shoulder,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-04-19,20:37:00,1745116712-6,[Arcanist Leggings],16796,item:16796::::::::60,Upgrade,3,MAGE,Molten Core-40 Player,Ragnaros,9,409,40,|cff0070dd|Hitem:11929::::::::60:::::::::|h[Haunting Specter Leggings]|h|r,,2,False,Cloth,Legs,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-05-02,20:27:00,1746239278-5,[Mind Quickening Gem],19339,item:19339::::::::60,BiS,1,MAGE,Blackwing Lair-40 Player,Firemaw,9,469,40,|cff1eff00|Hitem:11122::::::::60:::::::::|h[Carrot on a Stick]|h|r,|cff0070dd|Hitem:13968::::::::60:::::::::|h[Eye of the Beast]|h|r,1,False,Miscellaneous,Trinket,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-05-02,21:34:00,1746243323-7,[Netherwind Gloves],16913,item:16913::::::::60,Upgrade,1,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18693:930:::::::60:::::::::|h[Shivery Handwraps]|h|r,,2,False,Cloth,Hands,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-05-09,20:58:00,1746845928-12,"[Mish'undare, Circlet of the Mind Flayer]",19375,item:19375::::::::60,BiS,0,MAGE,Blackwing Lair-40 Player,Nefarian,9,469,40,|cff0070dd|Hitem:18727::::::::60:::::::::|h[Crimson Felt Hat]|h|r,,1,False,Cloth,Head,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-06-27,20:46:00,1751078799-26,[Arcanist Boots],16800,item:16800::::::::60,BiS,0,MAGE,Molten Core-40 Player,Magmadar,9,409,40,|cffa335ee|Hitem:19438::::::::60:::::::::|h[Ringo's Blizzard Boots]|h|r,,1,False,Cloth,Feet,,Blonde-Nightslayer,
Richchiggah-Nightslayer,2025-07-19,19:46:00,1752975947-7,[Mana Igniting Cord],19136,item:19136::::::::60,BiS,0,MAGE,Molten Core-40 Player,Majordomo Executus,9,409,40,|cffa335ee|Hitem:19388::::::::60:::::::::|h[Angelista's Grasp]|h|r,,1,False,Cloth,Waist,,Blonde-Nightslayer,
